,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
342,land.mrro.tavg-u-hxy-lnd.mon.glb,mon,land,runoff_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",,longitude latitude time,mrro,real,,XY-na,time-intv,Lmon,mrro,mrro,tavg-u-hxy-lnd,mrro_tavg-u-hxy-lnd,glb,Lmon.mrro,land.mrro.tavg-u-hxy-lnd.mon.glb,bab17a6e-e5dd-11e5-8482-ac72891c3257,core,,
343,land.mrros.tavg-u-hxy-lnd.mon.glb,mon,land,surface_runoff_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Surface Runoff,the total surface runoff leaving the land portion of the grid cell.,,longitude latitude time,mrros,real,,XY-na,time-intv,Lmon,mrros,mrros,tavg-u-hxy-lnd,mrros_tavg-u-hxy-lnd,glb,Lmon.mrros,land.mrros.tavg-u-hxy-lnd.mon.glb,bab19ff8-e5dd-11e5-8482-ac72891c3257,core,,
344,land.mrso.tavg-u-hxy-lnd.day.glb,day,land,mass_content_of_water_in_soil,kg m-2,area: mean where land time: mean,area: areacella,Total Soil Moisture Content,the mass per unit area  (summed over all soil layers) of water in all phases.,,longitude latitude time,mrso,real,,XY-na,time-intv,day,mrso,mrso,tavg-u-hxy-lnd,mrso_tavg-u-hxy-lnd,glb,day.mrso,land.mrso.tavg-u-hxy-lnd.day.glb,3c641b6c-b89b-11e6-be04-ac72891c3257,high,,
345,land.mrso.tavg-u-hxy-lnd.mon.glb,mon,land,mass_content_of_water_in_soil,kg m-2,area: mean where land time: mean,area: areacella,Total Soil Moisture Content,the mass per unit area  (summed over all soil layers) of water in all phases.,,longitude latitude time,mrso,real,,XY-na,time-intv,Lmon,mrso,mrso,tavg-u-hxy-lnd,mrso_tavg-u-hxy-lnd,glb,Lmon.mrso,land.mrso.tavg-u-hxy-lnd.mon.glb,bab1a782-e5dd-11e5-8482-ac72891c3257,core,,
346,land.mrsofc.ti-u-hxy-lnd.fx.glb,fx,land,soil_moisture_content_at_field_capacity,kg m-2,area: mean where land,area: areacella,Capacity of Soil to Store Water (Field Capacity),"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0.","This variable should exclude lake water and must refer to soil water only.
CHANGE: processing clarified.",longitude latitude,mrsofc,real,,XY-na,None,fx,mrsofc,mrsofc,ti-u-hxy-lnd,mrsofc_ti-u-hxy-lnd,glb,fx.mrsofc,land.mrsofc.ti-u-hxy-lnd.fx.glb,bab1c08c-e5dd-11e5-8482-ac72891c3257,core,,
347,land.mrsol.tavg-d10cm-hxy-lnd.day.glb,day,land,mass_content_of_water_in_soil_layer,kg m-2,area: mean where land time: mean,area: areacella,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",longitude latitude time sdepth10cm,mrsol,real,,XY-na,time-intv,day,mrsos,mrsol,tavg-d10cm-hxy-lnd,mrsol_tavg-d10cm-hxy-lnd,glb,day.mrsos,land.mrsol.tavg-d10cm-hxy-lnd.day.glb,bab1ca14-e5dd-11e5-8482-ac72891c3257,high,,
348,land.mrsol.tavg-d10cm-hxy-lnd.mon.glb,mon,land,mass_content_of_water_in_soil_layer,kg m-2,area: mean where land time: mean,area: areacella,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",longitude latitude time sdepth10cm,mrsol,real,,XY-na,time-intv,Lmon,mrsos,mrsol,tavg-d10cm-hxy-lnd,mrsol_tavg-d10cm-hxy-lnd,glb,Lmon.mrsos,land.mrsol.tavg-d10cm-hxy-lnd.mon.glb,bab1c85c-e5dd-11e5-8482-ac72891c3257,core,,
349,land.mrsol.tavg-sl-hxy-lnd.mon.glb,mon,land,mass_content_of_water_in_soil_layer,kg m-2,area: mean where land time: mean,area: areacella,Total Water Content of Soil Layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea""",,longitude latitude sdepth time,mrsol,real,,XY-S,time-intv,Emon,mrsol,mrsol,tavg-sl-hxy-lnd,mrsol_tavg-sl-hxy-lnd,glb,Emon.mrsol,land.mrsol.tavg-sl-hxy-lnd.mon.glb,8b803cac-4a5b-11e6-9cd2-ac72891c3257,high,,
350,land.nbp.tavg-u-hxy-lnd.mon.glb,mon,land,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,area: mean where land time: mean,area: areacella,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of  plant and soil respiration, carbonfluxes  from fire, harvest, grazing  and land use change. Positive flux  is into the land.",,longitude latitude time,nbp,real,down,XY-na,time-intv,Lmon,nbp,nbp,tavg-u-hxy-lnd,nbp_tavg-u-hxy-lnd,glb,Lmon.nbp,land.nbp.tavg-u-hxy-lnd.mon.glb,bab23634-e5dd-11e5-8482-ac72891c3257,high,,
351,land.nep.tavg-u-hxy-lnd.mon.glb,mon,land,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,kg m-2 s-1,area: mean where land time: mean,area: areacella,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],Net Ecosystem Exchange,,longitude latitude time,nep,real,down,XY-na,time-intv,Emon,nep,nep,tavg-u-hxy-lnd,nep_tavg-u-hxy-lnd,glb,Emon.nep,land.nep.tavg-u-hxy-lnd.mon.glb,d2290cee-4a9f-11e6-b84e-ac72891c3257,high,,
