,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
349,seaIce.sidmassmeltlat.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_lateral_melting,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Lateral Melting,Rate of change of sea-ice mass through lateral melting/dissolution divided by grid-cell area (report zero if not explicitly calculated thermodynamically). Always negative or zero.,"CHANGE: name, renamed from SImon.sidmasslat in CMIP6
CHANGE SINCE CMIP6: compound name,",longitude latitude time,sidmassmeltlat,real,,XY-na,time-intv,SImon,sidmassmeltlat,sidmassmeltlat,tavg-u-hxy-si,sidmassmeltlat_tavg-u-hxy-si,glb,SImon.sidmassmeltlat,seaIce.sidmassmeltlat.tavg-u-hxy-si.mon.glb,7124ed7e-faa7-11e6-bfb7-ac72891c3257,high,,
350,seaIce.sidmassmelttop.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_surface_melting,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change Through Surface Melting,"Rate of change of sea-ice mass through melting at the ice surface divided by grid-cell area. This number is independent of the actual fate of the meltwater, and will hence include all sea-ice meltwater that drains into the ocean and all sea-ice meltwater that is collected by a melt-pond parameterisation. Always negative or zero.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassmelttop,real,,XY-na,time-intv,SImon,sidmassmelttop,sidmassmelttop,tavg-u-hxy-si,sidmassmelttop_tavg-u-hxy-si,glb,SImon.sidmassmelttop,seaIce.sidmassmelttop.tavg-u-hxy-si.mon.glb,7124e0ea-faa7-11e6-bfb7-ac72891c3257,high,,
351,seaIce.sidmassth.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_sea_ice_amount_due_to_sea_ice_thermodynamics,kg m-2 s-1,area: time: mean where sea_ice over all_area_types,area: areacello,Sea-Ice Mass Change from Thermodynamics,Total rate of change in sea-ice mass from thermodynamic processes divided by grid-cell area.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: mean where sea_ice over all___area_types time: mean	,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where sea time: mean CMIP7:area: time: mean where sea_ice over all_area_types,",longitude latitude time,sidmassth,real,,XY-na,time-intv,SImon,sidmassth,sidmassth,tavg-u-hxy-si,sidmassth_tavg-u-hxy-si,glb,SImon.sidmassth,seaIce.sidmassth.tavg-u-hxy-si.mon.glb,7127bce8-faa7-11e6-bfb7-ac72891c3257,high,,
352,seaIce.sidmasstranx.tavg-u-hxy-u.mon.glb,mon,seaIce,sea_ice_x_transport,kg s-1,area: time: mean,--MODEL,X-Component of Sea-Ice Mass Transport,X-component of the sea-ice drift-induced transport of snow and sea ice mass.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean,",longitude latitude time,sidmasstranx,real,,XY-na,time-intv,SImon,sidmasstranx,sidmasstranx,tavg-u-hxy-u,sidmasstranx_tavg-u-hxy-u,glb,SImon.sidmasstranx,seaIce.sidmasstranx.tavg-u-hxy-u.mon.glb,71375d1a-faa7-11e6-bfb7-ac72891c3257,medium,,
353,seaIce.sidmasstrany.tavg-u-hxy-u.mon.glb,mon,seaIce,sea_ice_y_transport,kg s-1,area: time: mean,--MODEL,Y-Component of Sea-Ice Mass Transport,Y-component of the sea-ice drift-induced transport of snow and sea ice mass.,"CHANGE SINCE CMIP6 in Units (from Physical Parameter) - CMIP6:kg s-1 CMIP7:null,
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean,",longitude latitude time,sidmasstrany,real,,XY-na,time-intv,SImon,sidmasstrany,sidmasstrany,tavg-u-hxy-u,sidmasstrany_tavg-u-hxy-u,glb,SImon.sidmasstrany,seaIce.sidmasstrany.tavg-u-hxy-u.mon.glb,714b47f8-faa7-11e6-bfb7-ac72891c3257,medium,,
354,seaIce.sidragbot.tavg-u-hxy-si.mon.glb,mon,seaIce,sea_ice_basal_drag_coefficient_for_momentum_in_sea_water,1,area: time: mean where sea_ice (mask=siconc),area: areacello,Ocean Drag Coefficient,Oceanic drag coefficient that is used to calculate the oceanic momentum drag on sea ice.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",longitude latitude time,sidragbot,real,,XY-na,time-intv,SImon,sidragbot,sidragbot,tavg-u-hxy-si,sidragbot_tavg-u-hxy-si,glb,SImon.sidragbot,seaIce.sidragbot.tavg-u-hxy-si.mon.glb,7142bf02-faa7-11e6-bfb7-ac72891c3257,medium,,
355,seaIce.sidragtop.tavg-u-hxy-si.mon.glb,mon,seaIce,surface_drag_coefficient_for_momentum_in_air,1,area: time: mean where sea_ice (mask=siconc),area: areacello,Atmospheric Drag Coefficient,Atmospheric drag coefficient that is used to calculate the atmospheric momentum drag on sea ice.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",longitude latitude time,sidragtop,real,,XY-na,time-intv,SImon,sidragtop,sidragtop,tavg-u-hxy-si,sidragtop_tavg-u-hxy-si,glb,SImon.sidragtop,seaIce.sidragtop.tavg-u-hxy-si.mon.glb,711ece62-faa7-11e6-bfb7-ac72891c3257,medium,,
357,seaIce.siextent.tavg-u-hm-u.day.nh,day,seaIce,sea_ice_extent,1e6 km2,area: time: mean,,Sea-Ice Extent North,Total integrated area of all Northern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.,,time,siextent,real,,na-na,time-intv,SIday,siextentn,siextent,tavg-u-hm-u,siextent_tavg-u-hm-u,nh,SIday.siextentn,seaIce.siextent.tavg-u-hm-u.day.nh,80ab725f-a698-11ef-914a-613c0433d878,medium,,
358,seaIce.siextent.tavg-u-hm-u.day.sh,day,seaIce,sea_ice_extent,1e6 km2,area: time: mean,,Sea-Ice Extent South,Total integrated area of all Southern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.,,time,siextent,real,,na-na,time-intv,SIday,siextents,siextent,tavg-u-hm-u,siextent_tavg-u-hm-u,sh,SIday.siextents,seaIce.siextent.tavg-u-hm-u.day.sh,80ab7260-a698-11ef-914a-613c0433d878,medium,,
359,seaIce.siextent.tavg-u-hm-u.mon.nh,mon,seaIce,sea_ice_extent,1e6 km2,area: time: mean,,Sea-Ice Extent North,Total integrated area of all Northern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.,,time,siextent,real,,na-na,time-intv,SImon,siextentn,siextent,tavg-u-hm-u,siextent_tavg-u-hm-u,nh,SImon.siextentn,seaIce.siextent.tavg-u-hm-u.mon.nh,713a5c36-faa7-11e6-bfb7-ac72891c3257,high,,
